gene_id,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1
ENSG00000011332.19,14,7,3,71,32,53,18,10
ENSG00000011347.10,1007,71,238,3271,489,1190,1551,1634
ENSG00000011376.12,1205,744,1010,631,1361,821,822,630
ENSG00000011405.13,5959,2490,1659,1121,3894,1340,2687,1628
ENSG00000011422.12,1350,4292,1553,4111,8178,5122,1811,3488
ENSG00000011426.11,973,1120,540,1521,1227,1232,242,552
ENSG00000011451.21,920,1012,2185,2038,3164,1707,2458,1304
ENSG00000011454.18,4503,1996,1415,1833,4720,1715,3427,1740
ENSG00000011465.18,26055,4960,10627,7468,33162,9493,2840,28414
ENSG00000011478.13,239,279,752,864,533,709,895,290
ENSG00000011485.15,1692,1845,2443,3326,1891,1759,3129,1155
ENSG00000011523.14,1996,531,844,927,1992,1122,996,612
ENSG00000011566.15,2608,2355,976,1343,2180,2191,1692,791
ENSG00000011590.14,82,9,56,131,69,82,21,10
ENSG00000011600.12,686,3846,2647,2887,4466,4075,660,1436
ENSG00000011638.11,2640,1385,3305,1428,5331,3543,7289,713
ENSG00000011677.13,3,2,0,424,8,71,0,3
ENSG00000012048.23,578,465,328,815,535,630,261,333
ENSG00000012061.16,1315,637,1853,1884,2586,1748,1502,834
ENSG00000012124.17,280,797,604,252,135,1059,81,111
ENSG00000012171.20,426,3066,983,5894,804,1558,1496,320
ENSG00000012174.12,821,817,734,693,2010,850,399,948
ENSG00000012211.13,271,381,713,622,907,676,464,264
ENSG00000012223.13,5201,4399,39610,89,4350,9510,318,95
ENSG00000012232.9,1059,1045,2700,1255,5415,2307,3699,1506
ENSG00000012504.15,21,3,1,1,0,0,2,1
ENSG00000012660.14,5415,1198,1910,4184,7011,3795,3319,4430
ENSG00000012779.11,1388,2927,2597,3020,4583,4307,1527,789
ENSG00000012817.16,7,466,1708,4027,5046,0,1719,0
ENSG00000012822.16,2040,2527,4312,3533,4622,3235,5669,1469
ENSG00000012963.15,1429,1049,1509,1548,3413,1359,1364,836
ENSG00000012983.11,2485,1069,1182,2394,3584,1849,1621,1212
ENSG00000013016.16,683,185,455,1185,1143,601,458,964
ENSG00000013275.8,2906,2154,3564,4039,5121,2728,3426,1774
ENSG00000013288.9,2214,2944,4841,2953,5056,3584,4606,2588
ENSG00000013293.6,4,1,0,1,2,2,0,1
ENSG00000013297.12,51,63,61,113,136,81,72,287
ENSG00000013306.16,2571,3681,6211,9651,5708,7312,8794,3709
ENSG00000013364.19,14284,16740,49837,20080,26439,17934,46550,4252
ENSG00000013374.16,2852,3113,2343,3002,5017,3405,3192,1738
ENSG00000013375.16,1885,1300,1486,1021,1556,1043,1747,1538
ENSG00000013392.8,267,171,478,352,470,301,359,249
ENSG00000013441.16,4091,999,1697,4879,4270,2439,6072,930
ENSG00000013503.10,621,252,463,222,622,317,408,232
ENSG00000013523.11,1180,958,743,1137,2035,826,999,632
ENSG00000013561.18,1638,1608,1486,966,3420,1062,2853,957
ENSG00000013563.14,279,420,465,682,609,745,861,213
ENSG00000013573.17,308,666,675,1123,1016,2025,813,249
ENSG00000013583.10,757,959,1735,1086,3110,2239,2232,905
ENSG00000013588.9,7804,32222,26387,21856,23729,42956,70012,4656
ENSG00000013619.14,128,87,255,225,457,305,698,227
ENSG00000013725.14,324,592,524,2102,931,907,250,190
ENSG00000013810.20,587,1303,1320,3384,2333,2674,858,831
ENSG00000014123.10,2172,1723,1942,1139,2281,1087,2372,966
ENSG00000014138.9,96,61,162,428,246,419,208,78
ENSG00000014164.7,980,852,1151,1510,1155,1188,1734,563
ENSG00000014216.16,6088,8906,11845,16100,11792,12488,23989,5064
ENSG00000014257.16,250,403,112,85,520,235,453,76
ENSG00000014641.21,2917,2845,3467,3543,5808,3912,4059,1784
ENSG00000014824.14,3489,2394,2780,1709,4625,2192,3660,1611
ENSG00000014914.21,280,1152,1840,1379,1341,3434,1988,290
ENSG00000014919.13,1132,1017,2010,1145,1181,1462,1595,729
ENSG00000015133.19,6000,3528,1936,3693,5502,2747,1999,952
ENSG00000015153.15,780,311,350,342,969,411,360,340
ENSG00000015171.20,5008,2592,3580,2119,4664,2539,4500,1932
ENSG00000015285.11,270,569,1093,1558,1309,1292,182,413
ENSG00000015413.9,238,6,104,68,81,31,7,72
ENSG00000015475.19,661,844,1337,2689,2297,1025,1862,621
ENSG00000015479.20,651,41,29,109,207,50,268,34
ENSG00000015520.15,3,1443,8,12,9,8,5,22
ENSG00000015532.10,1775,953,1649,3086,2568,2630,3166,1087
ENSG00000015568.13,3,4,0,0,0,0,0,0
ENSG00000015592.16,5,0,0,4,8,0,5,0
ENSG00000015676.18,3970,3797,3841,4237,6705,3023,4416,1955
ENSG00000016082.15,78,68,0,3,1448,3,17,1
ENSG00000016391.11,365,996,763,307,522,389,1338,326
