gene_id,fd713184-4bb4-4e1b-a3b8-636273ee6ccc,a6a841ae-f63f-45ab-9a17-2288e12a9577,d94a4acc-1345-4cdb-b1e0-0b9c1afc593c,f1eb1ef7-fe25-4dd8-abed-9d9c298d72fb,32dd8db9-1e43-497e-a35a-664d7d15ed60,f6108b9b-e02f-4608-bec3-bcc0112d05b4,fbd81adc-aa56-4cde-b1f2-e749e2cbf653,525e9185-ed15-403d-8987-93c50e4b89a1
ENSG00000199319.1,26,0,0,0,0,0,0,0
ENSG00000199325.1,1,1,0,0,2,3,2,0
ENSG00000199327.1,1,0,0,0,0,0,0,0
ENSG00000199331.1,21,6,0,1,5,1,2,0
ENSG00000199332.1,0,0,0,0,0,0,2,0
ENSG00000199335.1,1,0,1,1,2,3,2,0
ENSG00000199348.1,5,0,0,0,0,0,0,0
ENSG00000199349.1,0,1,0,0,0,1,0,0
ENSG00000199357.1,1,1,0,0,0,0,0,0
ENSG00000199360.1,1,0,0,0,0,0,0,0
ENSG00000199362.1,1,0,0,0,0,0,0,0
ENSG00000199366.1,10,0,0,0,2,0,0,0
ENSG00000199368.1,0,0,0,1,1,0,0,0
ENSG00000199370.2,0,0,3,0,0,0,0,0
ENSG00000199377.1,36,1,4,6,2,4,1,0
ENSG00000199381.1,5,0,0,0,0,0,0,0
ENSG00000199390.1,4,0,0,0,1,0,0,0
ENSG00000199395.1,20,0,0,0,0,0,0,0
ENSG00000199398.1,0,0,0,1,1,0,0,0
ENSG00000199400.1,2,0,1,0,0,0,6,1
ENSG00000199402.1,0,1,0,0,0,0,0,0
ENSG00000199405.1,19,0,1,0,0,0,0,0
ENSG00000199407.1,2,0,0,1,0,0,0,0
ENSG00000199411.1,0,0,0,0,1,0,1,0
ENSG00000199415.1,6,0,1,0,0,0,0,0
ENSG00000199420.1,5,0,0,0,0,0,0,0
ENSG00000199424.1,1,0,0,0,0,0,0,0
ENSG00000199436.1,119,0,0,5,3,1,1,0
ENSG00000199440.1,1,0,0,0,0,0,0,0
ENSG00000199444.1,0,0,0,0,0,1,0,0
ENSG00000199458.1,0,0,0,0,1,0,0,0
ENSG00000199459.1,12,0,0,0,0,0,0,1
ENSG00000199460.2,0,0,0,0,0,2,0,0
ENSG00000199461.1,1,2,0,0,0,2,0,0
ENSG00000199466.1,8,2,1,6,0,5,4,0
ENSG00000199468.1,1,0,0,0,0,0,0,0
ENSG00000199469.1,3,0,0,0,0,0,0,0
ENSG00000199471.1,8,0,1,0,1,5,1,1
ENSG00000199472.1,4,0,0,0,0,0,1,0
ENSG00000199473.1,1,0,0,0,0,0,1,0
ENSG00000199476.1,0,1,2,0,3,2,3,1
ENSG00000199477.1,7,3,3,6,4,1,13,4
ENSG00000199482.1,5,0,0,0,2,0,0,0
ENSG00000199490.1,3,0,0,0,0,1,0,0
ENSG00000199497.1,2,0,0,1,2,0,0,0
ENSG00000199506.1,0,0,26,2,51,1,0,0
ENSG00000199509.1,5,0,0,0,0,1,2,0
ENSG00000199512.1,3,0,0,1,0,0,0,0
ENSG00000199523.1,1,0,0,0,0,0,0,0
ENSG00000199525.1,3,0,0,1,0,0,2,0
ENSG00000199530.1,0,0,0,1,2,0,0,1
ENSG00000199535.1,4,0,0,0,0,2,1,0
ENSG00000199536.1,10,0,0,0,0,0,0,0
ENSG00000199540.1,2,0,0,0,0,0,0,0
ENSG00000199545.1,11,0,0,0,0,0,1,0
ENSG00000199550.1,6,2,2,0,3,0,1,0
ENSG00000199562.1,15,0,2,0,13,0,0,1
ENSG00000199566.1,2,0,0,0,0,0,0,0
ENSG00000199567.1,7,0,0,0,0,1,0,0
ENSG00000199568.1,510,0,1,1,0,7,0,0
ENSG00000199570.1,1,1,0,0,0,0,0,0
ENSG00000199571.1,4,0,0,1,0,0,0,0
ENSG00000199572.1,0,0,0,0,0,9,0,1
ENSG00000199584.1,0,1,0,0,0,0,0,0
ENSG00000199592.1,11,0,0,0,0,0,0,0
ENSG00000199594.1,6,1,1,0,3,2,0,0
ENSG00000199598.1,2,0,0,1,0,0,0,0
ENSG00000199605.1,2,0,0,0,2,0,0,0
ENSG00000199609.1,0,0,0,0,1,0,0,0
ENSG00000199622.1,2,0,0,0,0,0,0,0
ENSG00000199627.1,13,0,0,6,6,2,1,0
ENSG00000199629.1,3,0,0,0,0,0,0,0
ENSG00000199630.1,6,1,0,0,0,0,1,1
ENSG00000199638.1,2,0,0,0,0,0,1,0
ENSG00000199640.1,1,0,0,0,0,0,0,0
ENSG00000199643.1,0,0,1,0,1,1,0,0
ENSG00000199646.1,1,0,0,0,0,0,1,2
ENSG00000199664.1,1,1,0,0,0,0,1,0
ENSG00000199666.2,3,0,0,0,0,0,0,0
ENSG00000199667.1,9,0,0,0,0,3,3,0
ENSG00000199668.1,0,0,0,0,0,1,0,1
ENSG00000199672.1,4,0,1,0,1,1,0,0
ENSG00000199674.1,4,0,0,2,0,0,0,0
ENSG00000199676.1,10,0,0,2,3,3,3,1
ENSG00000199683.1,122,0,0,1,1,0,1,0
ENSG00000199687.1,3,1,2,0,25,0,11,1
ENSG00000199691.1,83,1,0,6,1,8,13,1
ENSG00000199695.1,1,0,0,0,0,0,0,0
ENSG00000199697.1,3,3,0,0,1,0,2,0
ENSG00000199700.1,2,0,0,0,0,0,0,0
ENSG00000199709.1,1,0,0,3,1,2,1,2
ENSG00000199710.1,0,0,0,0,1,0,0,0
ENSG00000199711.1,2,0,0,0,0,1,1,0
ENSG00000199713.1,0,0,0,0,0,0,1,0
ENSG00000199715.1,0,0,0,1,3,0,0,0
ENSG00000199719.1,66,1,0,1,1,0,2,1
ENSG00000199730.1,13,0,0,0,1,0,0,0
ENSG00000199731.1,3,0,0,0,0,2,2,0
ENSG00000199732.1,3,0,1,0,0,0,0,0
ENSG00000199733.1,2,0,0,0,1,0,0,0
ENSG00000199740.1,1,0,0,0,1,0,2,0
ENSG00000199751.1,0,0,0,0,0,0,1,0
ENSG00000199753.1,35,8,34,175,57,116,266,9
ENSG00000199755.1,0,0,0,0,0,0,1,0
ENSG00000199762.1,12,0,0,0,0,0,0,0
ENSG00000199767.1,1,0,0,0,0,0,0,0
ENSG00000199781.1,4,0,0,0,0,0,0,0
ENSG00000199786.1,1,0,0,0,0,0,0,0
ENSG00000199787.1,7,0,0,0,0,0,0,0
ENSG00000199788.1,3,0,0,0,0,0,0,0
ENSG00000199790.1,1,0,0,0,0,0,0,0
ENSG00000199791.1,1,0,0,0,0,0,0,0
ENSG00000199792.1,1,0,0,0,0,0,0,0
ENSG00000199796.1,1,0,0,0,0,0,0,0
ENSG00000199797.1,2,0,0,0,0,0,0,0
ENSG00000199801.1,0,0,0,1,0,0,0,0
ENSG00000199803.1,3,0,0,0,0,0,0,0
ENSG00000199804.1,1,1,6,19,7,20,18,3
ENSG00000199805.1,11,2,1,0,2,1,0,0
ENSG00000199806.1,4,0,0,0,0,0,1,0
ENSG00000199812.1,2,0,0,0,0,0,0,0
ENSG00000199824.1,10,1,0,0,1,0,0,0
ENSG00000199831.1,53,0,0,0,0,0,0,0
ENSG00000199836.1,2,0,10,5,10,10,3,0
ENSG00000199839.1,13,0,0,0,0,0,1,0
ENSG00000199846.1,1,0,0,4,0,5,5,0
ENSG00000199855.1,2,0,0,0,0,0,0,0
ENSG00000199856.2,4,0,0,0,0,0,0,0
ENSG00000199865.1,2,0,0,0,3,2,1,0
ENSG00000199866.1,6,0,3,1,0,0,0,1
ENSG00000199867.1,2,0,0,0,0,0,0,0
ENSG00000199872.1,14,1,0,2,3,2,0,0
ENSG00000199874.1,0,0,0,0,0,1,1,0
ENSG00000199875.1,3,0,0,0,0,2,1,0
ENSG00000199878.1,1,0,0,0,0,0,0,0
ENSG00000199879.1,10,1,1,0,0,0,1,1
ENSG00000199880.1,4,0,1,0,2,1,3,1
ENSG00000199881.1,1,0,0,0,0,0,0,0
ENSG00000199883.1,249,0,0,1,0,0,1,0
ENSG00000199886.1,7,0,0,0,0,0,0,0
ENSG00000199890.1,4,0,0,1,1,0,0,1
ENSG00000199894.1,1,0,0,0,0,0,0,0
ENSG00000199899.2,19,0,7,22,19,28,4,0
ENSG00000199906.1,7,7,13,11,14,12,14,1
ENSG00000199914.1,2,0,0,0,0,0,0,0
ENSG00000199932.1,3,0,0,0,0,0,0,0
ENSG00000199933.1,5,1,1,0,7,0,2,0
ENSG00000199938.1,63,0,0,0,0,0,0,0
ENSG00000199940.1,4,0,1,0,3,0,1,0
ENSG00000199942.1,1,0,0,0,0,0,0,0
ENSG00000199944.1,4,0,0,0,0,0,0,0
ENSG00000199961.1,1,0,0,3,1,1,1,1
ENSG00000199962.1,2,0,0,0,0,0,0,0
ENSG00000199963.1,1,0,0,0,0,1,0,0
ENSG00000199964.1,0,0,0,0,0,0,1,0
ENSG00000199971.1,1,0,0,0,0,0,0,0
ENSG00000199975.1,28,0,1,1,0,0,0,0
ENSG00000199977.1,13,0,0,0,1,0,0,0
ENSG00000199979.1,9,0,0,0,0,0,0,0
ENSG00000199990.1,25,0,2,0,1,0,0,0
ENSG00000199994.1,7,0,0,0,1,0,0,0
ENSG00000200013.1,1,1,1,2,1,1,1,0
ENSG00000200026.1,1,0,0,0,0,0,0,0
ENSG00000200029.1,0,0,0,1,0,0,0,0
ENSG00000200033.1,113,0,3,8,9,87,0,1
ENSG00000200036.1,0,0,0,0,0,0,0,1
ENSG00000200041.1,0,1,0,0,0,0,1,1
ENSG00000200047.1,7,0,0,0,0,0,0,0
ENSG00000200051.1,6,0,0,0,0,0,0,0
ENSG00000200059.1,4,0,0,1,0,0,0,0
ENSG00000200060.1,0,0,0,1,1,0,0,0
ENSG00000200062.1,2,0,0,0,0,0,0,0
ENSG00000200063.1,2,0,0,0,0,0,0,0
ENSG00000200064.1,0,0,0,0,1,1,0,0
ENSG00000200065.1,6,0,1,0,1,0,0,0
ENSG00000200070.1,6,0,0,0,2,1,0,0
ENSG00000200075.1,13,0,0,0,0,0,0,0
ENSG00000200086.1,3,0,0,0,0,0,0,0
ENSG00000200087.1,54271,5,61,33,44,34,43,11
ENSG00000200090.1,31,7,6,9,15,13,22,3
ENSG00000200091.1,23,0,0,0,1,1,1,0
ENSG00000200095.1,2,0,1,0,0,1,0,0
ENSG00000200105.1,3,0,0,0,0,0,1,0
ENSG00000200107.1,1,0,0,0,0,0,0,0
ENSG00000200108.1,6,0,0,0,0,0,0,0
ENSG00000200113.1,1,0,0,0,0,0,0,0
ENSG00000200114.1,2,5,1,0,0,0,0,1
ENSG00000200118.1,8,0,0,0,0,0,0,0
ENSG00000200120.1,9,0,0,0,2,1,1,0
ENSG00000200131.1,1,0,0,0,0,0,0,0
ENSG00000200135.1,5,2,1,1,1,3,4,1
ENSG00000200138.1,7,0,1,0,0,1,0,1
ENSG00000200142.1,0,0,0,0,0,0,1,0
ENSG00000200151.1,35,0,0,0,0,0,0,0
ENSG00000200152.1,5,1,2,6,2,0,2,3
ENSG00000200156.1,1214,0,0,1,1,0,0,0
ENSG00000200164.1,6,1,0,7,3,3,2,1
ENSG00000200169.1,51,0,3,0,0,0,0,0
ENSG00000200170.1,27,2,8,13,7,15,10,2
ENSG00000200175.1,1,0,0,0,0,0,0,0
ENSG00000200176.1,16,1,0,0,1,0,0,0
ENSG00000200183.1,1,0,0,0,1,0,0,0
ENSG00000200184.1,2,0,0,2,0,0,0,0
ENSG00000200197.1,5,0,0,0,0,0,0,0
ENSG00000200198.1,1,0,0,0,0,0,0,0
ENSG00000200201.1,3,0,4,0,0,0,1,1
ENSG00000200204.1,4,1,0,1,2,0,0,0
ENSG00000200206.1,2,0,0,0,0,0,0,0
ENSG00000200209.1,2,1,0,5,0,1,1,0
ENSG00000200211.1,0,0,0,0,0,0,1,0
ENSG00000200218.1,1,0,0,0,0,0,0,0
ENSG00000200222.2,1,0,0,0,0,0,0,0
ENSG00000200225.1,0,1,0,2,0,1,1,0
ENSG00000200227.1,0,0,1,0,1,0,0,1
ENSG00000200235.1,2,0,1,0,5,0,1,0
ENSG00000200237.1,0,1,0,0,0,1,1,0
ENSG00000200241.1,1,0,0,0,2,0,0,0
ENSG00000200243.1,133,0,0,0,0,0,0,0
ENSG00000200247.1,8,0,0,0,0,0,0,0
ENSG00000200250.1,7,0,0,0,0,0,0,0
ENSG00000200252.1,0,1,0,0,0,1,0,0
ENSG00000200253.1,3,5,1,4,7,11,12,6
ENSG00000200254.1,1,0,1,1,0,0,0,0
ENSG00000200256.1,12,0,0,0,1,0,0,0
ENSG00000200257.1,5,0,0,2,1,1,0,0
ENSG00000200261.1,1,0,0,0,0,0,0,0
ENSG00000200269.1,7,0,0,0,0,0,0,0
ENSG00000200291.1,3,0,0,0,0,0,0,0
ENSG00000200293.1,0,0,0,1,0,0,0,0
ENSG00000200295.1,4,0,0,0,0,0,0,0
ENSG00000200296.1,4,0,0,0,0,0,0,0
ENSG00000200301.1,1,0,0,1,1,0,1,0
ENSG00000200304.1,4,0,0,0,0,0,0,0
ENSG00000200309.1,7,0,0,0,0,0,0,0
ENSG00000200310.1,1,0,0,0,0,0,0,0
ENSG00000200312.1,1452,0,0,0,1,1,0,0
ENSG00000200314.1,5,0,0,0,0,0,1,0
ENSG00000200325.1,1,0,1,0,0,0,0,0
ENSG00000200331.1,2,0,0,0,0,0,0,0
ENSG00000200332.1,3,0,1,0,1,0,3,0
ENSG00000200344.1,7,1,2,7,2,6,11,4
ENSG00000200345.2,0,3,0,1,0,1,4,1
ENSG00000200350.1,3,1,0,1,1,0,3,1
ENSG00000200351.1,19,0,0,0,0,0,0,0
ENSG00000200355.1,0,0,0,1,0,0,0,0
ENSG00000200356.1,4,3,4,9,2,5,4,0
ENSG00000200360.1,0,0,0,0,0,1,0,0
ENSG00000200366.1,0,1,0,0,0,0,0,0
ENSG00000200376.1,3,0,1,3,1,0,1,1
ENSG00000200377.1,12,0,0,1,0,0,1,0
ENSG00000200378.1,5,3,2,0,3,2,1,0
ENSG00000200379.1,5,0,0,0,0,0,0,0
ENSG00000200385.1,5,0,0,3,0,1,14,4
ENSG00000200388.1,0,0,0,0,0,0,0,1
ENSG00000200389.1,3,0,0,0,0,0,0,0
ENSG00000200391.1,0,0,0,0,0,1,0,0
ENSG00000200394.1,161,0,2,4,2,0,7,2
ENSG00000200397.1,20,0,2,2,4,1,0,0
ENSG00000200403.1,0,0,0,3,7,7,0,0
ENSG00000200407.1,1,0,0,2,0,0,0,0
ENSG00000200408.1,1,0,0,0,0,0,0,0
ENSG00000200419.1,4,0,0,0,1,0,0,2
ENSG00000200421.1,0,0,0,0,3,1,0,0
ENSG00000200428.1,0,1,1,3,5,1,1,2
ENSG00000200436.1,0,0,0,0,1,0,0,1
ENSG00000200446.1,0,0,0,1,0,0,0,0
ENSG00000200455.1,0,0,0,0,2,0,0,0
ENSG00000200472.1,3,0,0,1,0,0,0,0
ENSG00000200473.1,0,1,0,2,1,0,0,0
ENSG00000200475.1,3,0,0,0,0,0,0,0
ENSG00000200483.1,0,0,1,0,0,1,0,0
ENSG00000200488.1,1179,0,1,0,0,0,0,0
ENSG00000200494.1,2,0,0,0,0,0,0,0
ENSG00000200495.1,0,0,0,0,0,0,2,0
ENSG00000200496.1,1,0,0,0,0,0,0,0
ENSG00000200502.1,60,2,0,3,3,6,6,1
ENSG00000200506.1,7,0,1,1,0,1,0,0
ENSG00000200508.1,1,0,0,0,0,0,0,0
ENSG00000200516.1,0,0,0,0,0,0,0,1
ENSG00000200520.1,5,0,0,0,0,0,0,0
ENSG00000200521.1,6,0,0,0,0,0,1,0
ENSG00000200522.1,2,0,0,0,0,0,0,0
ENSG00000200525.1,17,0,2,3,0,3,5,2
ENSG00000200526.1,1,0,0,0,0,0,0,0
ENSG00000200527.1,0,1,0,0,0,0,0,0
ENSG00000200528.1,2,0,0,0,0,0,0,0
ENSG00000200534.1,58,9,25,53,26,72,52,9
ENSG00000200536.1,0,0,0,0,0,1,0,0
ENSG00000200537.1,3,0,0,0,1,0,0,0
ENSG00000200538.2,8,0,0,0,0,0,0,0
ENSG00000200544.1,3,1,0,0,0,0,2,0
ENSG00000200550.1,4,6,6,1,2,7,9,0
ENSG00000200554.1,2,0,0,0,0,0,0,0
ENSG00000200558.1,16,0,0,3,1,0,1,0
ENSG00000200560.1,4,0,0,0,2,0,0,0
ENSG00000200563.1,1,1,0,1,0,0,0,0
ENSG00000200571.1,18,0,0,0,0,0,0,0
ENSG00000200575.1,12,0,0,0,1,0,0,0
ENSG00000200579.1,4,7,6,3,3,1,2,1
ENSG00000200591.1,6,1,0,0,3,0,2,0
ENSG00000200594.1,4,0,1,0,2,2,0,0
ENSG00000200597.1,8,0,0,0,0,0,0,0
ENSG00000200605.1,0,0,0,0,1,0,0,0
ENSG00000200610.1,0,0,0,0,0,1,0,0
ENSG00000200612.1,2,0,0,0,1,0,0,0
ENSG00000200620.1,5,0,1,0,1,1,0,0
ENSG00000200626.1,1,0,0,0,0,0,0,0
ENSG00000200629.1,0,0,0,2,0,1,0,0
ENSG00000200630.1,0,0,0,0,0,0,1,0
ENSG00000200651.1,9,1,0,1,2,2,0,1
ENSG00000200652.1,3,0,0,0,0,1,0,0
ENSG00000200661.1,1,0,0,0,0,0,0,0
ENSG00000200665.1,15,0,0,0,0,0,0,0
ENSG00000200670.1,1,0,0,0,0,0,0,0
ENSG00000200673.1,4,0,0,0,0,0,0,0
ENSG00000200674.1,12,2,1,2,3,2,7,2
ENSG00000200677.1,0,0,0,1,0,1,0,0
ENSG00000200683.1,1,0,0,0,0,0,1,0
ENSG00000200685.1,8,0,0,0,1,0,0,0
ENSG00000200687.1,1,0,0,0,1,0,0,0
ENSG00000200688.1,5,1,0,0,1,0,0,0
ENSG00000200693.2,2,0,0,0,0,0,0,0
ENSG00000200701.1,10,0,0,0,0,0,0,0
ENSG00000200706.1,3,0,0,0,0,0,0,0
ENSG00000200708.1,10,0,0,0,0,0,0,0
ENSG00000200711.1,6,0,0,1,0,2,0,0
ENSG00000200713.1,1,0,0,0,0,0,0,0
ENSG00000200714.1,12,3,11,13,7,12,4,6
ENSG00000200718.1,37,0,0,0,0,0,1,0
ENSG00000200719.1,0,0,0,0,0,0,1,0
ENSG00000200728.1,1,0,0,0,0,0,0,0
ENSG00000200731.1,26,0,0,1,2,0,5,1
ENSG00000200732.1,6,0,0,1,1,1,0,0
ENSG00000200737.1,0,2,4,1,2,3,4,1
ENSG00000200742.1,16,0,0,3,4,3,1,0
ENSG00000200750.1,2,1,0,1,1,0,1,1
ENSG00000200753.1,2,0,0,0,2,1,0,1
ENSG00000200754.1,6,0,0,0,0,0,0,0
ENSG00000200755.1,1,0,0,0,0,0,0,0
ENSG00000200756.1,0,0,0,0,0,0,1,0
ENSG00000200759.1,1,0,0,1,0,0,7,0
ENSG00000200761.1,1,0,0,0,0,0,0,0
ENSG00000200769.1,25,1,1,9,1,10,8,2
ENSG00000200783.1,233,0,0,1,2,0,3,0
ENSG00000200788.1,15,1,2,1,0,4,3,1
ENSG00000200789.1,1,0,0,0,1,0,0,0
ENSG00000200792.1,353,0,0,0,0,0,0,0
ENSG00000200794.1,15,0,0,0,0,0,0,0
ENSG00000200795.1,1649,0,2,0,10,1,3,0
ENSG00000200799.1,2,0,0,1,0,0,0,0
ENSG00000200814.1,15,1,0,0,3,3,0,1
ENSG00000200815.1,1,1,0,0,4,1,1,2
ENSG00000200816.1,100,0,0,0,1,0,2,0
ENSG00000200823.1,1,0,0,0,1,0,0,0
ENSG00000200830.1,1,0,0,0,0,0,0,0
ENSG00000200834.1,11,0,1,0,2,0,1,0
ENSG00000200840.1,15,0,0,0,0,0,0,0
ENSG00000200847.1,2,1,0,2,0,2,2,0
ENSG00000200855.1,13,0,0,0,0,0,1,1
ENSG00000200867.1,77,0,0,0,0,0,0,0
ENSG00000200871.1,3,0,0,1,1,0,0,1
ENSG00000200873.1,4,0,0,0,0,0,0,0
ENSG00000200874.1,8,0,0,0,0,0,0,0
ENSG00000200879.1,11,0,8,23,10,31,13,0
ENSG00000200882.1,30,0,0,0,0,0,0,0
ENSG00000200883.1,8,0,0,0,0,0,1,0
ENSG00000200884.1,7,0,0,0,0,0,0,0
ENSG00000200887.1,1,0,0,0,0,0,0,0
ENSG00000200888.1,5,0,0,0,4,0,0,0
ENSG00000200893.1,6,1,3,1,0,0,4,0
ENSG00000200903.1,1,0,0,0,0,0,0,0
ENSG00000200906.1,4,0,0,1,0,0,0,0
ENSG00000200913.1,46,2,1,9,13,10,14,3
ENSG00000200914.1,1,0,1,0,0,0,3,2
ENSG00000200917.1,8,2,0,0,5,3,1,0
ENSG00000200924.1,4,1,1,5,3,5,3,1
ENSG00000200926.1,3,0,0,0,0,0,0,0
ENSG00000200941.1,1,0,0,0,0,0,1,1
ENSG00000200942.1,3,0,0,0,0,0,1,0
ENSG00000200953.1,9,1,5,11,3,7,3,2
ENSG00000200959.1,455,0,0,0,0,0,0,1
ENSG00000200966.1,5,0,0,0,0,0,0,0
ENSG00000200972.1,13,0,0,0,0,0,0,0
ENSG00000200974.1,2,0,0,0,0,0,0,0
ENSG00000200975.1,1,0,0,0,0,0,0,0
ENSG00000200976.1,5,0,0,2,0,0,0,0
ENSG00000200985.1,11,1,0,1,1,1,0,0
ENSG00000200991.1,3,0,0,0,0,0,0,0
ENSG00000200997.1,1,0,0,0,0,0,0,0
ENSG00000200998.1,1,0,0,0,0,0,0,0
ENSG00000200999.1,1,0,0,1,0,0,0,0
ENSG00000201006.1,1,0,0,0,0,0,0,0
ENSG00000201010.1,56,0,0,0,0,0,0,0
ENSG00000201012.1,2,0,0,0,2,0,0,0
ENSG00000201013.1,3,0,0,0,0,0,0,0
ENSG00000201025.1,5,0,0,0,0,0,0,0
ENSG00000201027.1,3,0,0,0,1,0,0,0
ENSG00000201028.1,20,0,0,0,0,0,1,0
ENSG00000201032.1,0,1,0,0,1,0,0,0
ENSG00000201034.1,10,0,0,1,1,0,0,0
ENSG00000201035.1,2,0,0,0,1,1,0,0
ENSG00000201041.1,3,0,0,2,0,0,0,0
ENSG00000201044.1,3,0,0,0,0,1,0,1
ENSG00000201047.1,11,0,0,0,0,0,0,0
ENSG00000201048.1,0,0,0,0,0,0,1,1
ENSG00000201050.1,0,0,0,1,0,0,2,0
ENSG00000201059.1,5,0,0,0,0,0,0,0
ENSG00000201066.1,3,0,0,0,0,0,0,0
ENSG00000201071.1,6,0,0,4,0,0,1,0
ENSG00000201076.1,7,0,0,1,2,2,2,0
ENSG00000201077.1,0,0,1,0,0,0,1,0
ENSG00000201078.1,8,0,1,1,1,1,0,0
ENSG00000201086.1,5,0,0,0,0,1,0,0
ENSG00000201098.1,3575,0,2,0,0,0,1,0
ENSG00000201104.1,2,0,0,0,0,0,0,0
ENSG00000201109.1,0,0,0,2,0,2,0,0
ENSG00000201113.1,12,0,0,0,0,0,0,0
ENSG00000201114.1,5,0,0,0,0,0,2,0
ENSG00000201118.1,4,0,0,1,0,0,0,0
ENSG00000201121.1,4,0,0,1,0,1,2,0
ENSG00000201129.1,3,0,0,0,0,0,1,0
ENSG00000201133.1,1,0,0,0,0,0,0,0
ENSG00000201134.1,4,4,2,0,3,5,3,3
ENSG00000201136.1,0,1,0,2,1,2,1,0
ENSG00000201142.1,2,0,0,0,1,0,0,0
ENSG00000201145.1,0,0,0,0,1,0,0,0
ENSG00000201151.1,13,2,0,13,6,16,7,1
ENSG00000201155.1,4,0,0,0,0,0,0,0
ENSG00000201157.1,4,0,0,0,0,0,1,0
ENSG00000201161.1,2,0,0,0,0,0,0,0
ENSG00000201162.1,2,0,0,0,0,0,0,0
ENSG00000201164.1,3,0,0,0,0,5,0,0
ENSG00000201170.1,0,0,0,0,0,0,1,0
ENSG00000201176.1,4,0,2,4,1,2,5,0
ENSG00000201178.1,8,0,0,0,0,0,0,0
ENSG00000201179.1,16,0,0,0,0,0,0,0
ENSG00000201180.1,3,0,0,0,0,0,0,0
ENSG00000201182.1,0,0,0,0,0,1,0,0
ENSG00000201183.1,7,3,1,3,6,11,6,0
ENSG00000201184.1,1,0,0,1,0,0,0,0
ENSG00000201185.1,15,0,0,0,1,0,0,0
ENSG00000201198.1,17,0,0,0,3,1,0,0
ENSG00000201201.1,10,0,0,0,0,0,0,0
ENSG00000201207.1,18,2,3,10,7,12,21,1
ENSG00000201208.1,8,0,0,2,3,6,5,0
ENSG00000201209.1,5,0,0,0,0,0,0,0
ENSG00000201210.1,2,0,0,0,1,0,0,0
ENSG00000201216.1,1,0,0,0,0,0,0,0
ENSG00000201217.1,40,0,1,1,13,0,4,3
ENSG00000201218.1,1,0,0,0,0,0,0,0
ENSG00000201221.1,9,0,0,1,0,0,0,0
ENSG00000201223.1,2,0,0,0,0,0,0,0
ENSG00000201228.1,1,0,0,0,0,0,0,0
ENSG00000201229.1,104,0,1,0,0,0,0,0
ENSG00000201231.1,1,1,1,0,0,2,3,0
ENSG00000201239.1,0,0,1,0,2,0,2,0
ENSG00000201242.1,3,0,0,0,0,0,0,0
ENSG00000201264.1,2,0,0,2,3,1,6,1
ENSG00000201279.1,2,0,0,0,0,0,0,0
ENSG00000201287.1,4,0,0,0,0,0,0,0
ENSG00000201289.1,4,0,0,0,0,0,0,0
ENSG00000201291.1,4,0,0,0,0,0,0,0
ENSG00000201294.1,2,0,0,0,0,0,1,0
ENSG00000201296.1,0,0,0,0,0,2,0,0
ENSG00000201297.1,2,0,0,0,0,0,0,0
ENSG00000201298.1,4,0,0,0,3,0,0,0
ENSG00000201301.1,0,0,0,0,1,0,0,0
ENSG00000201302.1,50,4,5,27,15,20,14,7
ENSG00000201308.1,4,0,0,1,0,0,0,0
ENSG00000201315.1,97,0,0,0,0,0,0,0
ENSG00000201317.1,5,0,0,0,0,1,0,0
ENSG00000201321.1,12,0,0,0,0,0,0,0
ENSG00000201339.1,2,0,0,0,0,0,0,0
ENSG00000201340.1,1,0,2,0,1,0,3,0
ENSG00000201341.1,2,0,0,0,0,0,0,0
ENSG00000201342.1,33,0,0,0,0,0,0,1
ENSG00000201343.1,27,0,0,0,0,0,0,1
ENSG00000201346.2,2,0,0,0,0,0,0,0
ENSG00000201347.1,2,0,0,0,0,0,0,0
ENSG00000201348.1,7,0,0,0,1,0,0,0
ENSG00000201354.1,2,1,0,0,0,0,0,0
ENSG00000201358.1,23,0,0,0,0,0,0,0
ENSG00000201363.2,0,2,0,0,0,4,0,0
ENSG00000201364.1,7,0,0,0,0,0,0,0
ENSG00000201365.1,8,0,0,1,1,0,0,0
ENSG00000201367.1,13,0,0,0,0,0,0,0
ENSG00000201371.1,4,0,0,0,0,0,0,1
ENSG00000201376.1,2,0,0,1,1,0,3,1
ENSG00000201382.1,0,0,0,0,0,0,0,1
ENSG00000201384.1,4,0,0,0,0,0,0,0
ENSG00000201386.1,1,0,0,0,0,0,0,0
ENSG00000201388.1,7,2,1,7,1,4,3,1
ENSG00000201390.1,16,0,0,0,0,0,1,0
ENSG00000201395.1,20,0,0,0,0,0,0,1
ENSG00000201412.1,1,0,0,0,0,0,0,0
ENSG00000201413.1,3,0,0,0,0,0,0,0
ENSG00000201420.1,1,0,0,0,0,0,0,0
ENSG00000201423.1,9,0,0,0,0,0,0,0
ENSG00000201428.1,258,0,0,0,1,1,2,0
ENSG00000201431.1,4,0,0,0,0,0,0,0
ENSG00000201432.1,1,0,0,2,0,1,0,0
ENSG00000201433.1,10,1,0,0,1,0,0,0
ENSG00000201435.1,19,0,0,1,1,0,1,0
ENSG00000201440.1,0,0,1,0,4,0,1,3
ENSG00000201441.1,0,0,0,1,0,2,1,0
ENSG00000201444.1,3,0,0,0,1,0,1,0
ENSG00000201447.1,0,0,0,0,0,3,0,0
ENSG00000201448.1,114,1,0,2,0,4,3,0
ENSG00000201451.1,0,0,0,0,1,0,1,0
